path	1
T	NA
cut	6
Partition 0	393,392,381,391,394
Partition 1	385,390,387,379,388,378
Partition 2	380,382,384,386,383,389
path	2
T	NA
cut	6
Partition 0	393,392,381,391,394
Partition 1	385,390,387,379,388,378
Partition 2	380,382,384,386,383,389
path	3
T	NA
cut	6
Partition 0	393,392,381,391,394
Partition 1	385,390,387,379,388,378
Partition 2	380,382,384,386,383,389
path	4
T	NA
cut	6
Partition 0	393,392,381,391,394
Partition 1	385,390,387,379,388,378
Partition 2	380,382,384,386,383,389
path	5
T	NA
cut	6
Partition 0	393,392,381,391,394
Partition 1	385,390,387,379,388,378
Partition 2	380,382,384,386,383,389
