targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
5	0	5	16	lc	True	True	True	True	3	3	6	6
5	1	5	16	lc	True	True	True	True	3	3	6	6
5	2	5	16	lc	True	True	True	True	3	3	6	6
5	3	5	16	lc	True	True	True	True	3	3	6	6
5	4	5	16	lc	True	True	True	True	3	3	6	6
5	5	5	16	lc	True	True	True	True	3	3	6	6
8	0	8	16	lc	True	True	True	True	4	4	9	9
8	1	8	16	lc	True	True	True	True	4	4	9	9
8	2	8	16	lc	True	True	True	True	4	4	9	9
8	3	8	16	lc	True	True	True	True	4	4	9	9
8	4	8	16	lc	True	True	True	True	4	4	9	9
8	5	8	16	lc	True	True	True	True	4	4	9	9
3	0	3	16	lc	True	True	True	True	2	2	4	4
3	1	3	16	lc	True	True	True	True	2	2	4	4
3	2	3	16	lc	True	True	True	True	2	2	4	4
3	3	3	16	lc	True	True	True	True	2	2	4	4
3	4	3	16	lc	True	True	True	True	2	2	4	4
3	5	3	16	lc	True	True	True	True	2	2	4	4
2	0	2	16	lc	True	True	True	True	1	1	3	3
2	1	2	16	lc	True	True	True	True	1	1	3	3
2	2	2	16	lc	True	True	True	True	1	1	3	3
2	3	2	16	lc	True	True	True	True	1	1	3	3
2	4	2	16	lc	True	True	True	True	1	1	3	3
2	5	2	16	lc	True	True	True	True	1	1	3	3
6	0	6	16	lc	True	True	True	True	3	3	7	7
6	1	6	16	lc	True	True	True	True	3	3	7	7
6	2	6	16	lc	True	True	True	True	3	3	7	7
6	3	6	16	lc	True	True	True	True	3	3	7	7
6	4	6	16	lc	True	True	True	True	3	3	7	7
6	5	6	16	lc	True	True	True	True	3	3	7	7
11	0	11	16	lc	True	True	True	True	4	4	12	12
11	1	11	16	lc	True	True	True	True	4	4	12	12
11	2	11	16	lc	True	True	True	True	4	4	12	12
11	3	11	16	lc	True	True	True	True	4	4	12	12
11	4	11	16	lc	True	True	True	True	4	4	12	12
11	5	11	16	lc	True	True	True	True	4	4	12	12
4	0	4	16	lc	True	True	True	True	2	2	6	6
4	1	4	16	lc	True	True	True	True	2	2	6	6
4	2	4	16	lc	True	True	True	True	2	2	6	6
4	3	4	16	lc	True	True	True	True	2	2	6	6
4	4	4	16	lc	True	True	True	True	2	2	6	6
4	5	4	16	lc	True	True	True	True	2	2	6	6
10	0	10	16	lc	True	True	True	True	4	4	11	11
10	1	10	16	lc	True	True	True	True	4	4	11	11
10	2	10	16	lc	True	True	True	True	4	4	11	11
10	3	10	16	lc	True	True	True	True	4	4	11	11
10	4	10	16	lc	True	True	True	True	4	4	11	11
10	5	10	16	lc	True	True	True	True	4	4	11	11
7	0	7	16	lc	True	True	True	True	4	4	8	8
7	1	7	16	lc	True	True	True	True	4	4	8	8
7	2	7	16	lc	True	True	True	True	4	4	8	8
7	3	7	16	lc	True	True	True	True	4	4	8	8
7	4	7	16	lc	True	True	True	True	4	4	8	8
7	5	7	16	lc	True	True	True	True	4	4	8	8
9	0	9	16	lc	True	True	True	True	4	4	11	11
9	1	9	16	lc	True	True	True	True	4	4	11	11
9	2	9	16	lc	True	True	True	True	4	4	11	11
9	3	9	16	lc	True	True	True	True	4	4	11	11
9	4	9	16	lc	True	True	True	True	4	4	11	11
9	5	9	16	lc	True	True	True	True	4	4	11	11
