path	1
T	NA
cut	6
Partition 0	806,801,808,809,810
Partition 1	802,804,800,805,803,807
Partition 2	815,813,814,798,816
Partition 3	797,799,811,812,796
path	2
T	NA
cut	6
Partition 0	806,801,808,809,810
Partition 1	802,804,800,805,803,807
Partition 2	815,813,814,798,816
Partition 3	797,799,811,812,796
path	3
T	NA
cut	6
Partition 0	806,801,808,809,810
Partition 1	802,804,800,805,803,807
Partition 2	815,813,814,798,816
Partition 3	797,799,811,812,796
path	4
T	NA
cut	6
Partition 0	806,801,808,809,810
Partition 1	802,804,800,805,803,807
Partition 2	815,813,814,798,816
Partition 3	797,799,811,812,796
path	5
T	NA
cut	6
Partition 0	806,801,808,809,810
Partition 1	802,804,800,805,803,807
Partition 2	815,813,814,798,816
Partition 3	797,799,811,812,796
