path	1
T	NA
cut	96
Partition 0	1102,1115,1116
Partition 1	1109,1110
Partition 2	1100,1099,1101,1096,1097,1098
Partition 3	1095
Partition 4	1030,1062,1063
Partition 5	1107,1108,1035
Partition 6	1106,1113,1105
Partition 7	1033
Partition 8	1111,1112,1067,1068
Partition 9	1052,1053,1050
Partition 10	1060,1071,1059
Partition 11	1145,1090,1143,1144,1073,1072
Partition 12	1069,1070
Partition 13	1055,1037
Partition 14	1056,1045,1031
Partition 15	1054
Partition 16	1061,1064,1065,1034
Partition 17	1078,1079,1076
Partition 19	1084,1043,1085,1140,1138
Partition 20	1093,1094,1136,1133,1131
Partition 21	1080,1041,1081
Partition 22	1134,1135,1137,1132
Partition 23	1040,1123,1124,1125,1119,1121,1122,1044
Partition 24	1120
Partition 25	1042
Partition 26	1127
Partition 27	1129,1118,1128
Partition 28	1149,1150
Partition 29	1151,1153,1154
Partition 30	1156,1157,1158
Partition 31	1092,1142
Partition 32	1146,1155
Partition 33	1036,1091
Partition 34	1082,1083,1087
Partition 35	1148
Partition 36	1086,1139
Partition 37	1088,1089
Partition 38	1152
Partition 40	1046
Partition 41	1039,1077
Partition 42	1051,1047,1049,1066,1075,1074
Partition 44	1159,1160
Partition 45	1114,1117,1130
Partition 46	1126
Partition 49	1147
Partition 50	1141
Partition 51	1032
Partition 52	1058,1103,1104,1038,1057
Partition 53	1048
