cut	89
Partition 0	1102,1115,1116
Partition 1	1109,1095,1110
Partition 2	1099,1098,1097
Partition 3	1033,1100,1101
Partition 4	1063,1030,1062
Partition 5	1107,1108,1035
Partition 6	1106,1113,1105
Partition 7	1103,1038,1104,1096
Partition 8	1111,1112,1067,1068
Partition 9	1052,1053,1050
Partition 10	1060,1071,1059,1070
Partition 11	1032,1051,1049
Partition 12	1061,1069,1034,1048
Partition 13	1055,1037,1058,1057
Partition 14	1056,1045,1031
Partition 15	1054,1046,1073,1072
Partition 16	1064,1065,1047,1066
Partition 17	1078,1079,1076
Partition 18	1039,1077,1075,1074
Partition 19	1136,1138,1131
Partition 20	1094,1133,1135
Partition 21	1080,1041,1081
Partition 22	1093,1134,1137,1132
Partition 23	1124,1121,1122
Partition 24	1042,1120,1119,1044
Partition 25	1040,1123,1125
Partition 26	1127,1114,1117,1130
Partition 27	1126,1129,1118,1128
Partition 28	1152,1150,1149
Partition 29	1151,1153,1154
Partition 30	1158,1157,1156
Partition 31	1159,1144,1143,1090
Partition 32	1160,1145,1146,1155
Partition 33	1084,1043,1085
Partition 34	1082,1083,1087,1088
Partition 35	1148,1141,1140
Partition 36	1036,1086,1139
Partition 37	1091,1089,1092,1142,1147
