path	1
T	NA
cut	93
Partition 0	1054,1073,1074
Partition 1	1078,1075,1076
Partition 2	1065,1047,1066
Partition 3	1037,1048
Partition 4	1051,1052,1053,1060,1058,1059
Partition 5	1032,1145
Partition 6	1069,1070
Partition 7	1049,1050
Partition 8	1061,1064,1034
Partition 10	1071,1072
Partition 11	1055
Partition 12	1045,1031
Partition 13	1046
Partition 15	1033
Partition 16	1152
Partition 17	1100,1099,1101,1109,1095,1097,1110,1098
Partition 18	1107,1096,1035,1030,1056,1062
Partition 20	1108,1063
Partition 21	1104,1057,1105
Partition 22	1103,1038
Partition 23	1111,1112,1067,1068
Partition 24	1106,1113,1114,1117
Partition 25	1159,1160,1144
Partition 27	1090,1143
Partition 28	1151,1148,1149,1150
Partition 29	1153,1154
Partition 30	1146,1156,1155,1157,1158
Partition 31	1088,1089
Partition 32	1036,1091
Partition 33	1092,1147
Partition 34	1086,1139
Partition 35	1142,1140,1141,1138
Partition 36	1084,1043,1085
Partition 38	1094,1135
Partition 39	1133,1137
Partition 40	1093,1134,1136
Partition 41	1039,1077
Partition 43	1079,1080,1082,1041,1081,1083,1087
Partition 44	1119,1044
Partition 45	1040,1123,1124,1125,1042,1120,1121,1122
Partition 47	1129,1118,1132
Partition 48	1116
Partition 49	1126,1130
Partition 50	1127,1128,1131
Partition 51	1115
Partition 54	1102
