cut	102
Partition 0	1054,1073
Partition 1	1078,1076
Partition 2	1075,1074
Partition 3	1047,1066
Partition 4	1052,1053
Partition 5	1032,1051,1050,1049
Partition 6	1055,1069
Partition 7	1037,1048
Partition 8	1061,1064,1034
Partition 9	1065,1070
Partition 10	1071,1072
Partition 11	1060,1058,1059
Partition 12	1045,1031
Partition 13	1102,1115,1046
Partition 14	1109,1110,1116
Partition 15	1033,1152
Partition 16	1100,1099,1101
Partition 17	1098,1097,1095
Partition 18	1035,1096
Partition 19	1030,1056,1062
Partition 20	1063,1107,1108
Partition 21	1104,1105,1057
Partition 22	1103,1038
Partition 23	1111,1112,1067,1068
Partition 24	1106,1113,1114
Partition 25	1159,1144
Partition 26	1160,1145,1146
Partition 27	1143,1090
Partition 28	1151,1150
Partition 29	1153,1154,1155
Partition 30	1158,1157,1156
Partition 31	1149,1089,1147
Partition 32	1036,1091
Partition 33	1092,1142
Partition 34	1086,1139
Partition 35	1148,1141,1140
Partition 36	1084,1043,1085
Partition 37	1083,1087,1088
Partition 38	1138,1135
Partition 39	1094,1133,1137
Partition 40	1093,1134,1136
Partition 41	1039,1077
Partition 42	1079,1082
Partition 43	1080,1041,1081
Partition 44	1119,1044
Partition 45	1121,1042,1120
Partition 46	1040,1123,1122
Partition 47	1129,1118
Partition 48	1132,1117,1130
Partition 49	1124,1125,1126
Partition 50	1127,1131,1128
